Date,Last/Close,Open,High,Low
02/3/2009,43.17,43.19,43.38,41.44
03/3/2009,43.89,43.17,43.9,41.2
04/3/2009,42.52,43.89,43.89,42.16
05/3/2009,41.49,42.52,42.71,40.41
06/3/2009,38.16,41.49,41.49,37.57
09/3/2009,40.87,38.16,41.14,38.16
12/3/2009,39.27,40.87,40.87,38.5
13/3/2009,35.56,39.27,39.27,35.08
16/3/2009,36.7,35.56,37.88,35.56
17/3/2009,38.43,36.7,38.76,34.85
18/3/2009,38.15,38.43,38.86,36.99
19/3/2009,37.74,38.15,38.6,36.65
20/3/2009,37.0,37.74,37.99,34.98
23/3/2009,38.59,37.0,38.6,36.62
24/3/2009,38.02,38.59,39.86,36.34
25/3/2009,37.41,38.02,41.7,35.94
26/3/2009,37.23,37.41,40.2,36.52
27/3/2009,37.58,37.23,40.34,36.79
30/3/2009,40.09,37.58,41.31,37.58
31/3/2009,39.49,40.09,41.03,39.16
01/4/2009,36.44,39.49,39.49,36.42
02/4/2009,37.37,36.44,37.82,34.26
06/4/2009,41.02,37.37,42.4,36.44
08/4/2009,43.29,41.02,43.54,39.64
09/4/2009,43.21,43.29,44.35,40.34
13/4/2009,46.57,43.21,47.32,42.98
15/4/2009,47.59,46.57,48.91,44.31
16/4/2009,50.1,47.59,51.55,44.47
17/4/2009,50.65,50.1,51.58,44.98
20/4/2009,54.41,50.65,55.6,44.57
21/4/2009,53.27,54.41,54.99,50.38
22/4/2009,53.59,48.47,54.39,48.47
23/4/2009,49.23,46.98,52.69,46.98
24/4/2009,47.12,45.68,49.14,45.48
27/4/2009,49.11,47.12,50.47,47.12
28/4/2009,48.74,49.11,49.89,47.25
29/4/2009,45.87,48.74,48.74,45.74
04/5/2009,50.51,45.87,50.66,45.16
05/5/2009,51.14,50.51,51.68,48.35
06/5/2009,52.04,51.14,53.7,48.85
07/5/2009,51.08,52.04,53.84,51.04
08/5/2009,50.94,51.08,51.08,48.45
11/5/2009,54.76,50.94,55.23,50.76
12/5/2009,52.2,54.76,54.76,49.99
13/5/2009,52.97,52.2,53.01,48.34
14/5/2009,52.32,49.02,53.38,49.02
15/5/2009,52.01,52.32,52.32,44.7
18/5/2009,52.01,52.01,52.01,52.01
19/5/2009,56.07,52.01,57.1,48.01
20/5/2009,49.51,51.05,54.66,49.4
21/5/2009,43.31,46.24,47.98,42.22
22/5/2009,41.97,39.22,44.6,39.22
25/5/2009,39.38,35.12,42.59,35.12
26/5/2009,43.87,39.38,44.3,39.38
27/5/2009,39.74,43.87,43.87,39.27
28/5/2009,37.78,39.74,39.77,37.78
29/5/2009,40.57,37.78,41.31,37.17
01/6/2009,41.02,40.57,42.22,38.3
02/6/2009,40.17,41.02,41.02,38.98
03/6/2009,39.42,40.17,40.23,35.72
04/6/2009,40.2,39.42,40.57,33.71
05/6/2009,40.0,40.2,40.73,37.5
08/6/2009,42.06,40.0,42.11,37.99
09/6/2009,39.84,42.06,42.06,37.43
10/6/2009,39.44,39.84,40.08,35.99
11/6/2009,40.86,39.44,41.05,37.21
12/6/2009,40.19,40.86,40.86,38.36
15/6/2009,41.13,40.19,42.55,38.66
16/6/2009,41.44,35.09,41.87,35.09
17/6/2009,44.89,41.44,44.96,37.76
18/6/2009,44.95,42.75,45.18,42.23
19/6/2009,42.47,40.3,44.04,40.3
22/6/2009,44.17,40.68,45.0,40.68
23/6/2009,44.17,44.17,44.17,44.17
24/6/2009,44.17,44.17,49.31,44.17
25/6/2009,43.63,44.17,46.16,41.73
26/6/2009,38.3,43.63,43.63,37.73
29/6/2009,40.51,38.3,40.67,38.3
30/6/2009,42.52,40.51,43.38,40.2
01/7/2009,43.07,42.52,44.38,41.94
02/7/2009,43.8,43.07,44.54,42.78
03/7/2009,46.55,43.8,46.55,43.8
06/7/2009,39.7,46.55,47.25,39.3
07/7/2009,36.22,39.7,39.7,35.53
08/7/2009,37.27,36.22,37.59,34.71
09/7/2009,35.96,37.27,37.81,35.73
10/7/2009,35.03,35.96,36.65,34.97
13/7/2009,36.5,35.03,37.55,35.03
14/7/2009,34.67,36.5,36.5,34.2
15/7/2009,36.12,34.67,36.33,31.41
16/7/2009,37.58,33.38,38.18,33.38
17/7/2009,35.95,34.34,37.23,34.34
20/7/2009,36.97,34.65,37.65,34.32
21/7/2009,36.56,36.59,37.49,36.31
22/7/2009,37.13,35.24,37.29,35.24
23/7/2009,36.31,35.72,36.9,35.72
24/7/2009,36.59,34.97,37.27,34.97
27/7/2009,37.43,36.11,38.57,36.11
28/7/2009,35.95,37.43,37.48,35.95
29/7/2009,37.55,35.95,37.62,35.73
30/7/2009,36.6,37.55,37.55,35.65
31/7/2009,36.14,36.6,36.6,34.88
03/8/2009,37.38,36.14,37.67,35.4
04/8/2009,37.1,37.38,37.48,36.32
05/8/2009,37.04,37.1,37.99,36.16
06/8/2009,38.0,36.13,38.41,35.57
07/8/2009,37.74,38.0,38.49,32.33
10/8/2009,39.14,37.74,39.89,36.72
11/8/2009,39.04,39.14,39.2,31.59
12/8/2009,38.89,37.31,40.61,36.36
13/8/2009,35.95,34.76,38.75,34.76
14/8/2009,36.74,34.28,37.75,34.28
17/8/2009,41.28,34.83,41.89,34.83
18/8/2009,38.74,36.37,41.09,36.37
19/8/2009,39.55,35.49,40.29,35.49
20/8/2009,37.65,37.46,38.86,37.29
21/8/2009,36.07,35.38,38.02,35.38
24/8/2009,35.51,34.24,35.97,34.24
25/8/2009,35.18,35.51,36.31,34.93
26/8/2009,34.35,35.18,35.18,34.23
27/8/2009,33.6,34.35,34.73,33.54
28/8/2009,33.5,33.6,34.26,32.45
31/8/2009,34.22,33.5,35.01,33.22
01/9/2009,34.79,31.71,35.76,31.71
02/9/2009,34.73,34.79,35.58,31.17
03/9/2009,33.82,33.73,35.3,33.3
04/9/2009,32.39,33.82,33.82,32.15
07/9/2009,32.05,33.6,33.6,31.91
08/9/2009,31.78,26.08,32.41,26.08
09/9/2009,31.41,32.14,32.16,31.4
10/9/2009,31.36,30.49,31.67,30.49
11/9/2009,30.58,29.51,31.38,29.37
14/9/2009,31.55,31.63,32.34,31.55
15/9/2009,30.12,31.11,31.4,29.76
16/9/2009,28.29,29.01,29.55,28.21
17/9/2009,27.89,27.97,28.48,27.63
18/9/2009,26.99,27.14,28.08,26.8
22/9/2009,26.87,26.99,32.66,26.3
23/9/2009,26.47,26.87,27.5,26.27
24/9/2009,24.31,26.47,27.99,24.29
25/9/2009,25.69,24.31,27.77,24.05
29/9/2009,26.17,25.69,27.2,25.69
30/9/2009,25.29,26.17,26.63,25.01
01/10/2009,25.24,25.29,25.65,25.06
05/10/2009,28.68,25.24,28.94,25.24
06/10/2009,27.73,26.57,30.25,26.57
07/10/2009,30.53,27.73,30.72,27.16
08/10/2009,29.9,28.39,30.15,28.39
09/10/2009,30.24,27.2,30.6,27.2
12/10/2009,28.1,29.73,30.85,28.01
14/10/2009,26.37,27.72,27.92,26.37
15/10/2009,26.64,22.84,27.64,22.84
16/10/2009,25.94,25.45,27.17,25.45
17/10/2009,26.29,25.94,26.36,23.5
20/10/2009,26.67,23.73,26.95,23.73
21/10/2009,26.77,25.53,27.17,25.53
22/10/2009,26.51,25.55,27.29,25.55
23/10/2009,25.22,25.02,25.92,24.86
26/10/2009,26.04,23.56,26.55,23.56
27/10/2009,28.07,26.04,28.17,25.22
28/10/2009,28.49,28.07,28.68,27.0
29/10/2009,28.31,28.13,31.98,27.73
30/10/2009,28.81,25.91,29.37,25.7
03/11/2009,32.04,25.29,33.05,25.29
04/11/2009,30.04,28.54,32.42,28.54
05/11/2009,30.03,28.48,31.8,28.48
06/11/2009,29.21,27.38,30.73,27.38
09/11/2009,29.52,29.21,30.9,28.94
10/11/2009,30.15,26.85,30.5,26.85
11/11/2009,30.84,30.23,31.7,28.59
12/11/2009,29.61,27.17,30.41,27.17
13/11/2009,29.65,26.63,29.94,26.63
16/11/2009,28.04,29.65,29.65,27.8
17/11/2009,26.75,28.04,28.06,26.75
18/11/2009,26.29,25.18,26.84,25.18
19/11/2009,27.48,23.72,27.91,23.72
20/11/2009,28.61,27.48,29.1,26.23
23/11/2009,26.28,28.61,28.61,24.48
24/11/2009,25.45,26.28,26.85,24.94
25/11/2009,24.66,25.45,26.47,23.62
26/11/2009,28.12,24.66,30.13,24.51
27/11/2009,30.13,28.12,35.84,28.12
30/11/2009,27.4,30.13,30.13,26.74
01/12/2009,26.27,25.57,26.7,24.94
02/12/2009,25.64,24.08,26.16,24.08
03/12/2009,25.59,25.64,27.3,24.73
04/12/2009,25.61,23.78,26.9,23.78
07/12/2009,26.95,24.09,27.5,24.09
08/12/2009,26.23,26.95,28.81,26.08
09/12/2009,27.36,25.23,27.38,25.23
10/12/2009,27.03,25.17,27.79,25.17
11/12/2009,26.76,24.78,27.75,24.78
14/12/2009,27.82,24.72,28.27,24.72
15/12/2009,28.59,25.81,28.68,25.81
16/12/2009,27.36,27.38,28.39,27.28
17/12/2009,27.23,23.5,27.65,23.5
18/12/2009,26.59,25.5,27.21,25.5
21/12/2009,25.95,24.19,27.34,24.19
22/12/2009,24.69,24.97,25.75,24.5
23/12/2009,24.49,22.82,26.55,22.82
24/12/2009,22.94,22.76,23.96,22.65
29/12/2009,24.33,22.94,24.9,22.94
30/12/2009,24.58,24.33,25.11,24.2
31/12/2009,23.35,23.24,24.39,23.16
04/1/2010,23.73,23.35,24.95,23.35
05/1/2010,22.21,23.73,23.73,22.08
06/1/2010,22.1,21.73,22.57,21.73
07/1/2010,22.29,21.27,22.92,21.25
08/1/2010,22.41,20.64,22.71,20.64
11/1/2010,22.45,22.25,22.83,22.15
12/1/2010,22.96,22.45,23.19,22.24
13/1/2010,21.96,21.13,23.11,21.13
14/1/2010,20.89,19.5,21.83,19.5
15/1/2010,21.06,20.11,21.36,20.11
18/1/2010,21.64,19.4,22.13,19.4
19/1/2010,22.01,20.33,22.36,20.33
20/1/2010,22.25,19.79,22.83,19.79
21/1/2010,24.17,20.94,24.89,20.94
22/1/2010,25.4,24.17,26.7,24.17
25/1/2010,25.81,25.25,26.45,25.04
27/1/2010,29.2,24.71,29.23,24.71
28/1/2010,26.93,26.55,29.23,26.55
29/1/2010,26.65,27.1,28.54,25.72
01/2/2010,26.17,23.35,27.3,23.35
02/2/2010,26.05,23.94,27.43,23.94
03/2/2010,26.23,25.79,27.05,25.39
04/2/2010,26.56,23.63,27.49,23.63
05/2/2010,29.96,26.56,31.16,26.56
06/2/2010,29.18,29.96,29.96,28.05
08/2/2010,31.33,29.18,31.74,29.18
09/2/2010,29.91,30.24,30.61,29.61
10/2/2010,30.61,28.37,30.79,28.37
11/2/2010,29.14,27.29,29.73,27.29
15/2/2010,29.67,29.34,30.56,29.18
16/2/2010,28.92,27.73,29.73,27.73
17/2/2010,27.75,26.49,28.61,26.49
18/2/2010,28.42,26.49,28.57,26.49
19/2/2010,30.45,26.68,30.62,26.68
22/2/2010,31.8,28.19,31.82,28.19
23/2/2010,31.09,31.27,32.13,30.89
24/2/2010,30.55,29.13,31.32,29.13
25/2/2010,29.71,30.55,30.6,28.84
26/2/2010,25.24,29.71,29.86,23.38
02/3/2010,22.82,23.27,23.66,21.99
03/3/2010,21.3,20.83,21.83,20.8
04/3/2010,21.24,20.3,21.65,20.3
05/3/2010,21.0,19.48,21.43,19.48
08/3/2010,20.82,19.81,21.21,19.81
09/3/2010,20.96,20.44,21.18,20.4
10/3/2010,20.25,18.41,20.77,18.41
11/3/2010,20.53,18.55,20.64,18.55
12/3/2010,19.82,18.48,20.4,18.48
15/3/2010,20.43,19.15,20.93,19.15
16/3/2010,20.17,18.74,20.27,18.74
17/3/2010,19.04,17.86,19.57,17.86
18/3/2010,19.26,17.96,19.7,17.96
19/3/2010,18.94,18.08,19.39,18.08
22/3/2010,20.21,18.94,20.31,18.0
23/3/2010,18.42,20.21,20.4,18.33
25/3/2010,17.84,18.42,19.26,17.24
26/3/2010,18.23,17.84,18.32,16.63
29/3/2010,19.48,18.16,19.9,18.16
30/3/2010,19.9,18.28,19.9,18.28
31/3/2010,19.83,19.9,20.06,18.94
01/4/2010,18.09,18.81,19.42,17.49
05/4/2010,17.5,17.43,18.28,16.94
06/4/2010,17.3,17.5,17.52,16.47
07/4/2010,17.5,17.3,17.79,16.63
08/4/2010,19.58,16.68,19.81,16.54
09/4/2010,18.6,18.06,18.85,18.03
12/4/2010,19.97,17.29,20.59,17.29
13/4/2010,20.1,18.96,20.39,18.96
15/4/2010,21.43,17.76,21.58,17.76
16/4/2010,21.63,20.43,22.04,20.43
19/4/2010,22.72,21.63,23.27,21.19
20/4/2010,20.82,22.72,22.72,20.81
21/4/2010,19.78,18.9,20.39,18.9
22/4/2010,20.53,19.9,21.16,19.31
23/4/2010,20.35,19.1,20.91,19.08
26/4/2010,19.82,19.0,20.66,18.94
27/4/2010,19.82,19.82,20.09,19.64
28/4/2010,22.73,19.82,23.12,18.92
29/4/2010,21.09,22.73,22.73,20.05
30/4/2010,20.29,18.94,20.77,18.94
03/5/2010,22.11,20.56,22.46,20.56
04/5/2010,23.7,20.95,23.83,20.95
05/5/2010,24.85,23.7,25.31,22.13
06/5/2010,24.23,21.73,26.23,21.73
07/5/2010,27.31,24.23,27.88,22.76
10/5/2010,25.62,27.31,27.31,23.69
11/5/2010,25.59,25.62,25.72,22.14
12/5/2010,25.69,22.93,26.86,22.93
13/5/2010,24.54,22.44,25.3,22.44
14/5/2010,26.18,23.73,26.41,23.73
17/5/2010,26.93,25.27,29.1,25.27
18/5/2010,26.43,24.48,27.44,24.48
19/5/2010,29.99,24.88,31.28,24.88
20/5/2010,30.04,29.22,30.89,27.37
21/5/2010,31.27,27.01,31.9,27.01
24/5/2010,30.84,31.27,31.37,28.42
25/5/2010,34.37,30.84,35.75,29.14
26/5/2010,32.29,34.37,34.37,31.29
27/5/2010,29.62,32.29,32.29,28.98
28/5/2010,26.22,29.62,29.62,26.22
31/5/2010,26.43,26.67,27.48,26.2
01/6/2010,28.6,26.07,29.3,26.07
02/6/2010,28.06,27.88,29.2,27.8
03/6/2010,25.4,25.99,26.38,25.19
04/6/2010,25.02,25.45,25.63,24.25
07/6/2010,28.27,25.02,28.36,25.02
08/6/2010,28.79,27.23,29.29,27.14
09/6/2010,28.09,28.15,28.64,27.51
10/6/2010,26.73,27.81,27.96,26.43
11/6/2010,25.06,25.15,25.56,24.75
14/6/2010,23.23,24.79,24.79,22.88
15/6/2010,21.95,22.97,23.25,21.63
16/6/2010,22.22,20.58,22.63,20.58
17/6/2010,21.66,20.78,22.49,20.78
18/6/2010,20.52,19.7,21.04,19.7
