Date,Last/Close,Open,High,Low,Volume
12/7/2011,3795.9,,,,36832864.0
13/7/2011,3837.31,,,,26967174.0
14/7/2011,3868.91,,,,29769692.0
15/7/2011,3831.68,,,,18883114.0
18/7/2011,3854.3,,,,22637597.0
19/7/2011,3884.52,,,,19215501.0
20/7/2011,3845.38,,,,16740986.0
21/7/2011,3824.44,,,,12832785.0
22/7/2011,3863.09,,,,24191896.0
25/7/2011,3902.45,,,,21955899.0
26/7/2011,3863.45,,,,20883957.0
27/7/2011,3880.4,,,,26540217.0
28/7/2011,3793.06,,,,33402279.0
29/7/2011,3718.06,,,,31957816.0
01/8/2011,3680.52,,,,37045773.0
02/8/2011,3629.35,,,,29741393.0
03/8/2011,3629.26,,,,31698965.0
04/8/2011,3578.49,,,,31145047.0
05/8/2011,3486.23,,,,54887979.0
08/8/2011,3361.35,,,,48504566.0
09/8/2011,3264.2,,,,63730457.0
10/8/2011,3316.85,,,,51615067.0
11/8/2011,3317.65,,,,28012515.0
12/8/2011,3278.38,,,,34372214.0
16/8/2011,3217.85,,,,30543324.0
17/8/2011,3241.47,,,,26921500.0
18/8/2011,3150.91,,,,27068761.0
19/8/2011,3141.73,,,,38058560.0
22/8/2011,3202.63,,,,31241259.0
23/8/2011,3220.54,,,,27261078.0
24/8/2011,3144.2,,,,35328426.0
25/8/2011,3083.89,,,,43272998.0
26/8/2011,2972.57,,,,34643302.0
29/8/2011,3107.26,,,,37584593.0
30/8/2011,3226.05,,,,52719760.0
02/9/2011,3325.26,,,,50476211.0
05/9/2011,3321.34,,,,34329214.0
06/9/2011,3354.07,,,,38168961.0
07/9/2011,3423.46,,,,40414753.0
08/9/2011,3391.13,,,,34162184.0
09/9/2011,3275.68,,,,32858401.0
12/9/2011,3161.12,,,,30359912.0
13/9/2011,3168.43,,,,28343101.0
14/9/2011,3222.02,,,,32503425.0
15/9/2011,3236.51,,,,32594426.0
16/9/2011,3242.84,,,,44262773.0
19/9/2011,3207.6,,,,20430759.0
20/9/2011,3268.89,,,,26203213.0
21/9/2011,3261.8,,,,30509062.0
22/9/2011,3126.02,,,,35590210.0
23/9/2011,3056.74,,,,41846578.0
26/9/2011,2977.55,,,,45281823.0
27/9/2011,3052.08,,,,37700048.0
28/9/2011,2996.5,,,,31351371.0
29/9/2011,3006.06,,,,36307494.0
30/9/2011,2921.39,,,,52448999.0
03/10/2011,2804.7,2877.75,2877.75,2798.5,44481268.0
04/10/2011,2760.45,2789.0,2835.4,2726.6,44854372.0
05/10/2011,2745.3,2782.1,2808.3,2738.85,52547557.0
07/10/2011,2889.55,2832.5,2895.8,2832.5,51353782.0
10/10/2011,2943.7,2886.45,2951.9,2876.35,53634854.0
11/10/2011,2972.85,2975.45,2999.2,2949.5,50649690.0
12/10/2011,3037.75,2985.95,3046.05,2972.8,45338758.0
13/10/2011,3013.95,3050.75,3051.0,2996.5,40668023.0
14/10/2011,2987.9,2987.1,2998.3,2943.4,44775685.0
17/10/2011,2983.75,3005.85,3011.1,2958.85,32030741.0
18/10/2011,2941.1,2934.75,2948.2,2909.75,36507440.0
19/10/2011,2988.7,2974.6,2997.15,2971.0,27176294.0
20/10/2011,2972.05,2955.8,2978.6,2919.65,28866092.0
21/10/2011,2932.85,2984.4,2991.25,2924.15,25074601.0
24/10/2011,2942.95,2976.05,2995.65,2925.95,29282263.0
25/10/2011,3004.8,2962.0,3014.6,2938.85,45334630.0
26/10/2011,3020.6,3020.7,3031.4,3014.7,8243583.0
28/10/2011,3220.05,3126.0,3256.45,3126.0,80504838.0
31/10/2011,3157.15,3214.95,3214.95,3148.9,35364930.0
01/11/2011,3112.65,3130.0,3132.4,3082.5,31191069.0
02/11/2011,3105.2,3070.35,3129.35,3059.75,26277246.0
03/11/2011,3096.35,3095.0,3107.05,3052.85,36451039.0
04/11/2011,3145.85,3135.7,3172.45,3134.0,39621566.0
08/11/2011,3148.75,3165.55,3172.5,3127.7,21167273.0
09/11/2011,3062.8,3160.1,3174.8,3052.2,31232043.0
11/11/2011,2989.7,3025.55,3025.55,2967.6,36762080.0
14/11/2011,2922.55,3019.5,3028.15,2914.25,28401065.0
15/11/2011,2866.4,2920.45,2944.15,2852.4,29917611.0
16/11/2011,2868.45,2861.6,2910.0,2809.2,37887407.0
17/11/2011,2806.3,2871.4,2879.5,2793.05,37646924.0
18/11/2011,2768.9,2784.8,2784.8,2728.5,45381575.0
21/11/2011,2671.85,2748.05,2749.15,2661.5,33603910.0
22/11/2011,2711.35,2717.05,2746.85,2679.75,36433275.0
23/11/2011,2659.0,2691.55,2691.55,2621.25,31014047.0
24/11/2011,2667.4,2656.65,2675.1,2599.3,46238652.0
25/11/2011,2615.2,2648.8,2662.15,2606.4,35168987.0
28/11/2011,2745.2,2653.1,2754.35,2653.1,39058422.0
29/11/2011,2706.8,2761.8,2764.8,2696.9,39580990.0
30/11/2011,2710.3,2689.55,2722.45,2663.8,65074804.0
01/12/2011,2818.9,2814.2,2867.65,2798.9,52206277.0
02/12/2011,2894.05,2816.9,2907.55,2790.65,43811829.0
05/12/2011,2865.3,2884.65,2894.1,2850.75,34789577.0
07/12/2011,2877.3,2871.95,2900.9,2862.0,45430780.0
08/12/2011,2786.85,2859.8,2862.7,2776.3,44876467.0
09/12/2011,2762.55,2732.85,2798.4,2709.6,45023155.0
12/12/2011,2652.05,2790.6,2794.45,2643.5,45651939.0
13/12/2011,2710.05,2631.9,2730.85,2618.8,51108346.0
14/12/2011,2652.15,2702.0,2720.6,2645.95,38283506.0
15/12/2011,2652.35,2616.05,2660.35,2581.55,43548979.0
16/12/2011,2580.3,2662.35,2690.0,2571.2,45571129.0
19/12/2011,2562.3,2561.5,2566.45,2517.65,35604951.0
20/12/2011,2470.6,2578.8,2582.0,2462.5,40356611.0
21/12/2011,2535.25,2531.3,2542.1,2491.7,41240920.0
22/12/2011,2545.15,2511.75,2556.1,2481.35,39988842.0
23/12/2011,2529.2,2565.9,2582.1,2516.25,35093868.0
26/12/2011,2563.8,2542.35,2570.6,2537.7,23246349.0
27/12/2011,2525.65,2561.75,2582.1,2512.5,21405365.0
28/12/2011,2478.9,2521.15,2529.7,2459.75,31313835.0
29/12/2011,2486.25,2463.95,2498.85,2446.35,46404559.0
30/12/2011,2464.6,2492.0,2507.85,2452.65,29413500.0
02/1/2012,2495.1,2478.1,2501.05,2439.25,32003664.0
03/1/2012,2618.65,2519.05,2624.65,2519.05,47115158.0
04/1/2012,2626.65,2629.35,2647.0,2603.85,43608826.0
05/1/2012,2610.1,2624.95,2651.7,2591.15,34997858.0
