Date,Close/Last,Volume,Open,High,Low
03/1/2000,1592.2,25358322,1482.15,1592.9,1482.15
04/1/2000,1638.7,38787872,1594.4,1641.95,1594.4
05/1/2000,1595.8,62153431,1634.55,1635.5,1555.05
06/1/2000,1617.6,51272875,1595.8,1639.0,1595.8
07/1/2000,1613.3,54315945,1616.6,1628.25,1597.2
10/1/2000,1632.95,45013949,1615.65,1662.1,1614.95
11/1/2000,1572.5,49120254,1633.25,1639.9,1548.25
12/1/2000,1624.8,38364961,1572.3,1631.55,1571.7
13/1/2000,1621.4,44738447,1627.85,1671.15,1613.65
14/1/2000,1622.75,43292009,1622.15,1627.4,1591.4
17/1/2000,1611.6,42683260,1623.5,1668.45,1604.65
18/1/2000,1606.7,37564199,1611.65,1615.15,1587.85
19/1/2000,1634.85,42981295,1610.05,1644.45,1608.85
20/1/2000,1601.1,42625471,1634.65,1644.4,1596.65
21/1/2000,1620.6,39715905,1601.25,1626.5,1593.2
24/1/2000,1613.6,34726595,1623.05,1645.0,1608.3
25/1/2000,1586.4,36881758,1612.95,1613.65,1579.55
27/1/2000,1603.9,38102878,1600.5,1633.55,1600.05
28/1/2000,1599.1,46563431,1603.65,1610.9,1592.7
31/1/2000,1546.2,36153239,1598.35,1598.35,1538.7
01/2/2000,1549.5,37161352,1546.2,1554.15,1521.4
02/2/2000,1588.0,39358471,1554.2,1605.9,1554.2
03/2/2000,1597.9,40826374,1591.25,1616.7,1591.25
04/2/2000,1599.75,30459542,1598.5,1621.35,1596.45
07/2/2000,1636.6,34666978,1599.8,1645.9,1599.8
08/2/2000,1662.75,40722843,1636.6,1676.1,1636.6
09/2/2000,1689.65,41767017,1666.95,1731.65,1666.7
10/2/2000,1711.2,30110126,1692.1,1713.7,1692.1
11/2/2000,1756.0,33406798,1712.85,1771.65,1712.85
14/2/2000,1744.5,31621011,1777.75,1795.45,1738.75
15/2/2000,1702.55,39135619,1744.5,1744.5,1694.45
16/2/2000,1711.1,31314383,1704.85,1742.8,1704.15
17/2/2000,1742.1,28333952,1710.05,1753.1,1710.05
18/2/2000,1717.8,24491796,1742.3,1764.15,1713.45
21/2/2000,1753.5,26015488,1719.55,1767.8,1719.55
22/2/2000,1739.05,33425078,1754.2,1781.05,1733.55
23/2/2000,1696.4,27905642,1745.2,1818.15,1689.2
24/2/2000,1732.0,23492408,1696.4,1751.6,1693.1
25/2/2000,1710.45,19458640,1734.05,1757.05,1699.25
28/2/2000,1722.55,27266318,1711.15,1726.65,1670.75
29/2/2000,1654.8,49498835,1722.85,1783.3,1626.35
01/3/2000,1712.7,37586272,1661.5,1727.9,1630.0
02/3/2000,1696.55,42276125,1713.65,1773.85,1690.05
03/3/2000,1656.0,29500370,1696.45,1719.15,1644.4
06/3/2000,1688.5,32426509,1656.0,1721.0,1656.0
07/3/2000,1702.75,36861204,1711.85,1730.85,1684.9
08/3/2000,1666.35,30249973,1717.75,1765.25,1654.45
09/3/2000,1646.25,27734646,1667.45,1692.25,1595.45
10/3/2000,1602.75,23714154,1647.85,1680.45,1588.2
13/3/2000,1560.7,32025029,1601.4,1645.0,1553.45
14/3/2000,1567.05,37965722,1561.55,1571.3,1503.2
15/3/2000,1620.1,28895834,1546.8,1630.95,1538.7
16/3/2000,1562.2,33981961,1620.4,1621.2,1554.3
21/3/2000,1556.6,30768798,1563.3,1585.25,1542.65
22/3/2000,1589.6,26938367,1551.05,1604.0,1551.05
23/3/2000,1553.4,21308741,1590.3,1629.2,1544.5
24/3/2000,1569.55,15407574,1554.2,1579.4,1540.45
27/3/2000,1562.95,19049762,1570.45,1593.3,1555.75
28/3/2000,1568.6,28174402,1563.3,1575.85,1527.55
29/3/2000,1558.25,32288722,1569.3,1609.4,1553.4
30/3/2000,1549.5,38871150,1556.95,1557.85,1489.1
31/3/2000,1528.45,49680971,1545.55,1545.55,1493.9
03/4/2000,1534.75,50909584,1528.7,1555.5,1510.75
04/4/2000,1428.1,42180348,1534.05,1534.05,1420.85
05/4/2000,1434.65,49400946,1428.5,1467.4,1391.65
06/4/2000,1452.95,40869843,1436.15,1475.25,1381.05
07/4/2000,1557.15,49468064,1453.3,1558.05,1453.3
10/4/2000,1613.0,67959549,1557.55,1636.95,1557.55
11/4/2000,1624.65,34966347,1613.0,1631.6,1550.85
12/4/2000,1592.7,35323588,1624.4,1628.55,1586.0
13/4/2000,1518.65,20985552,1587.95,1587.95,1502.7
17/4/2000,1443.55,47786700,1518.55,1518.55,1412.45
18/4/2000,1414.8,30055064,1443.55,1478.85,1410.0
19/4/2000,1404.95,38873392,1417.75,1469.05,1375.05
20/4/2000,1415.65,43869587,1405.7,1425.55,1339.75
24/4/2000,1388.0,34272187,1416.05,1431.8,1371.85
25/4/2000,1359.45,40507493,1383.8,1383.8,1311.3
26/4/2000,1436.1,45032350,1362.5,1439.05,1362.5
27/4/2000,1416.9,51773632,1436.15,1455.85,1400.65
28/4/2000,1406.55,27456437,1419.9,1438.0,1396.55
02/5/2000,1333.45,39377730,1410.0,1421.5,1319.65
03/5/2000,1316.05,34709688,1330.15,1342.15,1258.1
04/5/2000,1380.55,29963970,1317.95,1385.15,1317.95
05/5/2000,1422.4,35555435,1381.9,1428.6,1381.9
08/5/2000,1365.05,23965671,1423.25,1436.6,1358.8
09/5/2000,1378.55,24898689,1362.45,1385.7,1328.05
10/5/2000,1363.15,22179474,1380.4,1391.35,1359.65
11/5/2000,1304.55,23828870,1359.1,1359.1,1295.95
12/5/2000,1282.8,23382546,1305.3,1326.3,1276.4
15/5/2000,1299.25,21763805,1281.3,1311.7,1220.7
16/5/2000,1306.85,17410579,1300.2,1310.45,1287.8
17/5/2000,1311.65,25382671,1310.8,1347.7,1303.75
18/5/2000,1293.4,23235814,1311.3,1316.2,1289.55
19/5/2000,1268.0,27403349,1293.45,1293.45,1252.7
22/5/2000,1233.0,18684174,1267.85,1267.85,1228.4
23/5/2000,1224.4,21794331,1229.25,1230.9,1203.2
24/5/2000,1235.9,30854002,1224.5,1246.25,1201.5
25/5/2000,1247.65,35464246,1237.0,1269.8,1235.7
26/5/2000,1275.35,33048311,1247.1,1278.75,1232.85
29/5/2000,1311.05,47527900,1273.7,1317.75,1267.4
30/5/2000,1344.85,35581006,1310.8,1347.3,1304.95
31/5/2000,1380.45,46440897,1355.35,1410.75,1355.35
01/6/2000,1349.0,29618849,1380.4,1380.4,1345.1
02/6/2000,1389.25,40135483,1350.15,1395.35,1350.15
05/6/2000,1404.6,46679969,1390.95,1461.05,1390.95
06/6/2000,1421.75,28124165,1405.45,1426.15,1392.7
07/6/2000,1430.35,32121331,1423.4,1442.7,1413.8
08/6/2000,1463.65,39568681,1430.5,1468.7,1430.5
09/6/2000,1467.2,55393741,1464.3,1485.5,1458.9
12/6/2000,1440.4,28468653,1464.4,1477.55,1437.15
13/6/2000,1432.9,37250861,1438.8,1438.8,1411.9
14/6/2000,1435.5,37371054,1434.95,1459.15,1423.95
15/6/2000,1445.25,30332490,1437.0,1452.8,1422.4
16/6/2000,1477.3,39625952,1443.15,1480.85,1441.6
19/6/2000,1498.75,37008819,1477.55,1510.45,1477.55
20/6/2000,1507.1,32047330,1498.0,1518.05,1497.05
21/6/2000,1475.15,30544515,1524.05,1539.1,1470.4
22/6/2000,1488.25,42444916,1475.65,1491.4,1461.3
23/6/2000,1472.2,62807049,1487.85,1499.85,1462.75
26/6/2000,1451.65,28885013,1472.15,1472.15,1431.25
27/6/2000,1454.3,41444271,1452.8,1467.15,1448.95
28/6/2000,1470.0,25720842,1453.7,1474.7,1445.6
29/6/2000,1492.35,41360755,1471.35,1505.75,1471.35
30/6/2000,1471.45,39155406,1490.2,1490.65,1462.45
03/7/2000,1495.25,39577037,1473.45,1498.7,1473.45
04/7/2000,1511.3,37921171,1496.15,1516.8,1494.8
05/7/2000,1526.05,51276438,1511.5,1530.9,1511.5
06/7/2000,1516.8,41999154,1525.15,1525.15,1504.05
07/7/2000,1517.6,40341969,1517.0,1528.15,1513.4
10/7/2000,1509.65,40338082,1518.15,1523.2,1502.7
