Date,Last/Close,Open,High,Low
03/1/2000,1291.55,1205.7,1291.65,1205.7
04/1/2000,1335.45,1292.5,1335.75,1292.5
05/1/2000,1303.8,1335.35,1347.65,1279.0
06/1/2000,1306.6,1321.35,1331.55,1299.8
07/1/2000,1276.3,1306.55,1306.55,1270.45
10/1/2000,1283.55,1276.5,1311.65,1272.65
11/1/2000,1236.8,1283.65,1295.35,1217.1
12/1/2000,1277.1,1236.7,1277.1,1236.7
13/1/2000,1262.8,1278.45,1302.35,1259.05
14/1/2000,1262.05,1263.1,1272.95,1240.45
17/1/2000,1269.35,1262.25,1293.65,1262.25
18/1/2000,1267.1,1269.85,1278.0,1251.75
19/1/2000,1293.35,1267.2,1303.3,1267.2
20/1/2000,1284.1,1293.35,1313.8,1282.4
21/1/2000,1311.05,1284.1,1311.2,1280.95
24/1/2000,1312.6,1311.4,1334.85,1309.1
25/1/2000,1313.4,1312.6,1322.95,1302.55
27/1/2000,1337.55,1319.1,1355.6,1319.0
28/1/2000,1360.05,1337.5,1366.25,1337.45
31/1/2000,1316.25,1360.0,1366.9,1306.85
01/2/2000,1335.2,1316.35,1336.5,1309.9
02/2/2000,1376.3,1335.85,1389.1,1335.85
03/2/2000,1407.7,1376.4,1410.35,1376.4
04/2/2000,1428.35,1407.75,1444.45,1407.75
07/2/2000,1438.4,1428.85,1455.5,1428.85
08/2/2000,1437.95,1438.55,1465.45,1435.2
09/2/2000,1468.2,1438.45,1494.75,1438.45
10/2/2000,1508.45,1469.85,1509.05,1469.85
11/2/2000,1541.9,1509.5,1562.7,1509.5
14/2/2000,1543.9,1551.5,1577.25,1531.6
15/2/2000,1541.4,1543.9,1563.05,1508.6
16/2/2000,1575.75,1541.7,1597.65,1541.7
17/2/2000,1633.2,1575.8,1637.7,1575.8
18/2/2000,1653.85,1633.4,1680.35,1633.4
21/2/2000,1706.95,1653.9,1714.0,1653.9
22/2/2000,1667.2,1707.05,1759.15,1664.25
23/2/2000,1612.65,1674.95,1703.8,1607.3
24/2/2000,1614.45,1612.7,1627.5,1581.15
25/2/2000,1556.85,1614.75,1621.45,1548.15
28/2/2000,1558.85,1557.1,1569.2,1498.7
29/2/2000,1486.65,1559.0,1620.1,1466.3
01/3/2000,1563.45,1486.95,1568.8,1483.1
02/3/2000,1583.25,1563.55,1633.8,1563.55
03/3/2000,1531.5,1582.9,1607.4,1517.85
06/3/2000,1552.05,1531.6,1585.4,1531.5
07/3/2000,1530.2,1552.3,1579.75,1519.65
08/3/2000,1523.9,1531.85,1584.75,1510.35
09/3/2000,1471.45,1524.15,1549.3,1449.05
10/3/2000,1446.15,1472.35,1517.25,1431.2
13/3/2000,1388.65,1446.15,1485.8,1384.4
14/3/2000,1368.3,1388.7,1389.3,1327.6
15/3/2000,1371.6,1370.0,1386.75,1330.95
16/3/2000,1326.7,1371.65,1371.65,1319.6
21/3/2000,1300.2,1327.2,1341.4,1291.8
22/3/2000,1334.8,1298.25,1355.45,1293.05
23/3/2000,1332.75,1335.1,1379.7,1319.7
24/3/2000,1362.35,1332.85,1364.95,1326.75
27/3/2000,1371.95,1362.35,1390.8,1357.85
28/3/2000,1386.05,1372.05,1387.5,1345.1
29/3/2000,1396.45,1386.15,1425.4,1386.15
30/3/2000,1358.65,1396.35,1396.35,1326.2
31/3/2000,1322.9,1357.15,1357.15,1301.3
03/4/2000,1287.99,1322.95,1337.95,1283.55
04/4/2000,1197.2,1287.8,1287.8,1193.2
05/4/2000,1194.9,1196.7,1224.75,1154.65
06/4/2000,1205.35,1195.15,1225.1,1134.55
07/4/2000,1284.8,1205.55,1284.95,1205.55
10/4/2000,1344.15,1285.0,1356.15,1285.0
11/4/2000,1355.35,1343.95,1364.3,1284.85
12/4/2000,1334.2,1355.25,1363.2,1330.5
13/4/2000,1275.25,1332.0,1332.0,1261.0
17/4/2000,1196.15,1275.2,1275.2,1186.7
18/4/2000,1158.05,1196.35,1215.2,1153.35
19/4/2000,1127.65,1159.55,1199.75,1107.15
