Date,Close/Last,Volume,Open,High,Low
08/10/2018,215.15,4642146.0,208.0,222.25,206.85
05/10/2018,209.2,3519515.0,217.0,218.6,205.9
04/10/2018,218.2,1728786.0,223.5,227.8,216.15
03/10/2018,227.6,1708590.0,230.0,237.5,225.75
01/10/2018,230.9,1534749.0,234.55,234.6,221.05
28/09/2018,233.75,3069914.0,234.05,235.95,230.2
27/09/2018,233.25,5082859.0,234.55,236.8,231.1
26/09/2018,234.25,2240909.0,240.0,240.0,232.5
25/09/2018,236.1,2349368.0,233.3,236.75,232.0
24/09/2018,233.3,3423509.0,233.55,239.2,230.75
21/09/2018,234.6,5395319.0,235.0,237.0,227.95
19/09/2018,234.9,1362058.0,235.95,237.2,233.45
18/09/2018,235.05,2614794.0,237.9,239.25,233.5
17/09/2018,236.6,3170894.0,233.15,238.0,230.25
14/09/2018,233.95,6377909.0,223.45,236.7,223.3
12/09/2018,222.65,4570939.0,216.35,223.7,212.65
11/09/2018,216.0,3508990.0,222.5,225.4,214.85
10/09/2018,222.0,7514106.0,222.5,235.15,220.65
07/09/2018,222.95,1232507.0,221.0,224.5,219.1
06/09/2018,221.05,1738824.0,224.0,225.0,218.2
05/09/2018,222.4,3023097.0,222.0,224.6,215.2
04/09/2018,223.7,3554859.0,238.2,238.2,222.6
03/09/2018,236.7,5242852.0,236.0,243.55,235.05
31/08/2018,234.3,3353833.0,237.0,239.75,232.95
30/08/2018,236.0,1921327.0,235.35,237.3,232.1
29/08/2018,234.55,1394661.0,233.85,237.7,232.7
28/08/2018,233.35,2374782.0,237.0,239.3,231.3
27/08/2018,237.05,1990020.0,231.8,239.35,231.05
24/08/2018,231.0,1838417.0,234.5,237.2,230.2
23/08/2018,235.45,1553953.0,240.3,240.6,233.1
21/08/2018,240.55,3272005.0,246.9,246.9,239.25
20/08/2018,245.15,1690225.0,244.0,247.0,243.0
17/08/2018,243.0,2838238.0,240.8,244.5,239.2
16/08/2018,239.35,2551480.0,236.05,242.0,235.95
14/08/2018,237.55,1885288.0,235.0,238.5,235.0
13/08/2018,234.55,1948583.0,233.0,236.45,232.25
10/08/2018,233.55,2035594.0,237.3,237.95,231.1
09/08/2018,237.3,1127248.0,236.65,239.85,235.3
08/08/2018,236.35,1807313.0,237.25,240.5,235.05
07/08/2018,237.6,1963538.0,241.0,241.55,235.3
06/08/2018,239.5,2560616.0,235.15,240.45,234.15
03/08/2018,234.65,3357945.0,236.0,239.0,232.0
02/08/2018,235.45,5700851.0,232.5,238.05,230.4
01/08/2018,235.65,13272609.0,248.7,254.95,234.35
31/07/2018,246.9,4422342.0,243.4,249.65,241.5
30/07/2018,242.2,1867720.0,243.7,247.0,240.9
27/07/2018,242.25,1581985.0,241.0,243.95,239.15
26/07/2018,239.1,3996921.0,235.9,242.95,234.5
25/07/2018,236.9,2310430.0,248.5,248.5,235.8
24/07/2018,246.3,2278457.0,244.0,249.2,241.9
23/07/2018,243.3,2351769.0,238.9,244.25,235.25
20/07/2018,238.6,3003282.0,231.25,240.95,231.25
19/07/2018,233.1,4223216.0,239.7,243.3,228.6
18/07/2018,238.65,3343525.0,248.4,249.6,232.7
17/07/2018,247.9,3158004.0,241.55,251.85,240.3
16/07/2018,243.25,3454849.0,257.9,257.9,242.1
13/07/2018,258.9,3357333.0,265.0,265.75,257.55
12/07/2018,265.2,2250217.0,270.4,272.45,264.35
11/07/2018,269.8,1407688.0,274.8,275.45,267.45
10/07/2018,274.75,1284523.0,275.9,277.8,272.55
09/07/2018,275.25,2267486.0,268.25,276.2,267.0
06/07/2018,266.3,2022333.0,269.8,273.25,265.7
05/07/2018,271.25,2338411.0,277.45,282.4,270.0
04/07/2018,277.3,3598212.0,281.0,281.0,275.35
03/07/2018,281.0,6676660.0,264.5,284.5,262.7
02/07/2018,264.45,3661633.0,271.0,273.1,263.25
29/06/2018,269.35,2077927.0,262.7,270.15,262.7
28/06/2018,263.95,4511203.0,263.0,268.25,261.45
27/06/2018,265.6,2234204.0,265.1,268.4,261.2
26/06/2018,267.35,2208389.0,264.8,269.7,263.3
25/06/2018,264.5,2103452.0,260.1,266.95,260.1
22/06/2018,262.1,2459832.0,257.9,263.55,256.45
21/06/2018,258.2,3020580.0,258.05,262.35,255.5
20/06/2018,260.85,3367252.0,263.7,264.75,257.0
19/06/2018,267.05,6224725.0,274.65,274.65,266.05
18/06/2018,275.35,1541522.0,271.55,276.85,269.15
15/06/2018,272.15,3133233.0,279.15,281.0,271.45
14/06/2018,277.8,3646744.0,269.8,278.75,268.2
13/06/2018,269.6,1232644.0,267.0,270.5,265.35
12/06/2018,267.6,1206633.0,262.75,268.4,262.75
11/06/2018,263.7,3538690.0,265.6,271.25,262.7
08/06/2018,266.95,1104173.0,263.7,269.35,263.55
07/06/2018,267.1,1527128.0,266.9,269.7,263.3
06/06/2018,265.75,2052017.0,262.75,266.7,260.35
05/06/2018,263.75,4208120.0,255.5,264.7,254.8
04/06/2018,255.25,1819147.0,265.0,265.4,253.5
01/06/2018,263.25,2622839.0,269.7,269.7,258.55
31/05/2018,269.2,3469905.0,267.0,272.0,260.7
30/05/2018,264.5,4154146.0,254.0,266.0,253.2
29/05/2018,257.5,2235734.0,257.4,262.7,257.0
28/05/2018,260.65,2649349.0,254.7,262.2,254.65
25/05/2018,257.85,2071496.0,252.2,259.4,252.2
24/05/2018,254.5,2921253.0,251.0,255.5,247.3
23/05/2018,250.2,4295785.0,246.5,252.35,245.55
22/05/2018,247.15,3175432.0,244.0,251.1,244.0
21/05/2018,243.55,3180360.0,244.1,248.35,240.55
18/05/2018,244.7,3297714.0,248.3,248.95,243.35
17/05/2018,247.5,7108750.0,243.5,249.3,242.5
16/05/2018,241.1,6328483.0,240.0,245.6,237.25
15/05/2018,242.65,9298329.0,256.45,259.5,240.75
14/05/2018,255.9,16822847.0,280.0,281.35,251.85
11/05/2018,287.5,1974327.0,284.4,290.5,284.4
10/05/2018,285.25,1446384.0,292.95,293.0,283.45
09/05/2018,292.0,1820409.0,289.6,294.35,288.6
08/05/2018,289.7,1720983.0,296.0,296.2,287.25
07/05/2018,294.2,1848551.0,288.8,295.5,287.0
04/05/2018,287.8,1399442.0,287.05,291.5,282.3
03/05/2018,286.65,2561225.0,292.75,292.75,283.1
02/05/2018,292.75,1857277.0,297.4,300.0,289.4
30/04/2018,297.55,3046154.0,293.9,298.5,292.05
27/04/2018,292.1,1858644.0,293.45,294.4,291.05
26/04/2018,291.2,4942803.0,292.5,293.65,288.75
25/04/2018,289.1,4804882.0,283.05,291.25,282.05
24/04/2018,283.15,2131466.0,283.0,288.0,281.8
23/04/2018,283.6,1687369.0,287.7,287.8,282.65
20/04/2018,286.3,2523492.0,285.95,288.8,283.65
19/04/2018,286.2,2434183.0,286.0,288.65,283.6
18/04/2018,284.1,4719061.0,282.3,287.45,279.25
17/04/2018,280.95,5799262.0,282.0,285.25,277.5
16/04/2018,279.65,3030999.0,274.0,280.2,272.55
13/04/2018,275.5,2196800.0,274.0,277.35,271.75
12/04/2018,273.85,2149205.0,273.9,277.8,271.65
11/04/2018,273.85,1996390.0,276.1,276.35,271.5
10/04/2018,275.5,2190930.0,280.2,280.7,274.1
09/04/2018,277.8,4623765.0,275.0,281.65,273.0
06/04/2018,272.7,1852060.0,274.8,275.65,271.0
05/04/2018,273.0,2658707.0,274.55,277.0,271.5
04/04/2018,270.25,3283985.0,276.7,279.05,269.55
03/04/2018,274.8,2613360.0,276.0,277.55,271.7
02/04/2018,276.95,6610831.0,259.35,278.4,259.35
28/03/2018,258.75,2283408.0,261.25,264.0,257.5
27/03/2018,263.8,3071911.0,264.0,265.75,260.75
26/03/2018,262.2,2440719.0,258.05,263.5,253.7
23/03/2018,257.9,2297852.0,251.05,258.9,250.0
22/03/2018,258.85,1681596.0,264.65,264.65,257.6
21/03/2018,263.2,1477158.0,265.3,266.3,262.15
20/03/2018,262.05,2855717.0,259.7,263.65,255.1
19/03/2018,260.6,3665423.0,272.6,273.0,258.35
16/03/2018,272.4,2762357.0,280.8,282.7,271.05
15/03/2018,279.6,2877987.0,278.0,284.4,277.25
14/03/2018,278.5,2056369.0,275.25,281.25,275.25
13/03/2018,278.2,3095190.0,278.05,281.3,273.2
12/03/2018,276.05,2583575.0,270.0,276.65,269.7
09/03/2018,268.35,1614381.0,275.9,275.9,266.6
08/03/2018,273.4,2246589.0,270.5,274.2,265.0
07/03/2018,268.9,4847214.0,272.0,274.45,265.15
