Date,Close/Last,Volume,Open,High,Low
02/1/1996,2.975,412000,2.98,3.025,2.95
03/1/1996,2.985,284000,2.975,2.995,2.95
04/1/1996,2.965,282000,2.985,2.98,2.94
05/1/1996,2.96,189000,2.965,2.98,2.95
08/1/1996,2.925,237000,2.96,2.95,2.91
09/1/1996,2.83,483000,2.925,2.925,2.8
10/1/1996,2.84,226000,2.83,2.865,2.81
11/1/1996,2.83,318000,2.84,2.88,2.8
12/1/1996,2.825,431000,2.83,2.835,2.8
15/1/1996,2.79,181000,2.825,2.815,2.775
16/1/1996,2.74,358000,2.79,2.8,2.74
17/1/1996,2.655,429000,2.74,2.795,2.63
18/1/1996,2.64,330000,2.655,2.655,2.6
19/1/1996,2.555,426000,2.64,2.63,2.535
22/1/1996,2.545,359000,2.555,2.59,2.52
23/1/1996,2.53,399000,2.545,2.6,2.51
24/1/1996,2.465,449000,2.53,2.53,2.45
25/1/1996,2.435,390000,2.465,2.45,2.41
26/1/1996,2.435,1,2.435,2.435,2.435
29/1/1996,2.485,311000,2.435,2.495,2.395
30/1/1996,2.52,452000,2.485,2.55,2.485
31/1/1996,2.59,344000,2.52,2.635,2.55
01/2/1996,2.78,424000,2.59,2.8,2.6
02/2/1996,2.915,819000,2.78,2.995,2.8
05/2/1996,2.995,906000,2.915,3.1,2.95
06/2/1996,2.975,888000,2.995,3.05,2.95
07/2/1996,2.865,586000,2.975,2.925,2.825
08/2/1996,3.045,667000,2.865,3.15,2.885
09/2/1996,3.65,1720000,3.045,3.655,3.35
12/2/1996,3.51,2851000,3.65,3.795,3.45
13/2/1996,3.45,1451000,3.6,3.6,3.325
14/2/1996,3.71,2464000,3.45,3.8,3.59
15/2/1996,3.685,1191000,3.71,3.77,3.67
16/2/1996,3.56,1396000,3.685,3.675,3.51
19/2/1996,3.515,1297000,3.56,3.65,3.5
20/2/1996,3.365,1361000,3.515,3.515,3.305
21/2/1996,3.365,1,3.365,3.365,3.365
22/2/1996,3.425,848000,3.365,3.475,3.4
23/2/1996,3.42,687000,3.425,3.5,3.4
26/2/1996,3.385,647000,3.42,3.475,3.375
27/2/1996,3.395,841000,3.39,3.425,3.3
