Date,Close/Last,Volume,Open,High,Low
03/1/2000,233.05,4456424,237.5,251.7,237.5
04/1/2000,251.7,9487878,258.4,271.85,251.3
05/1/2000,271.85,26833684,256.65,287.9,256.65
06/1/2000,282.5,15682286,289.0,300.7,289.0
07/1/2000,294.35,19870977,295.0,317.9,293.0
10/1/2000,314.55,13417057,317.4,318.7,305.3
11/1/2000,308.5,12544322,307.95,310.95,283.85
12/1/2000,288.5,12109507,289.0,305.0,282.15
13/1/2000,301.7,17076042,306.0,316.4,304.1
14/1/2000,311.85,13460592,309.5,321.65,309.5
17/1/2000,316.3,10729180,318.25,322.9,307.05
18/1/2000,308.75,10083321,309.0,318.95,305.55
19/1/2000,314.2,11481392,322.85,324.9,316.2
20/1/2000,319.6,15428711,320.0,324.9,310.55
21/1/2000,312.85,17137072,312.7,328.4,312.0
24/1/2000,326.35,13163301,325.5,331.85,322.0
25/1/2000,326.15,9752949,325.05,325.3,318.25
27/1/2000,319.95,15014556,329.0,336.8,322.7
28/1/2000,334.95,11734252,335.9,341.9,331.6
31/1/2000,338.35,10191331,334.45,336.0,326.55
01/2/2000,328.15,10707804,330.8,337.45,328.0
02/2/2000,334.05,9950848,342.9,346.9,338.55
03/2/2000,340.15,6771527,342.0,343.5,336.4
04/2/2000,341.65,7106910,344.0,347.35,341.7
07/2/2000,344.15,8193641,341.1,349.45,338.05
08/2/2000,343.6,6430661,345.5,346.9,341.05
09/2/2000,342.4,11436821,349.0,354.65,344.8
10/2/2000,350.4,10792579,348.8,363.8,344.9
11/2/2000,355.75,8155627,364.0,374.0,360.05
14/2/2000,363.3,5127399,359.0,360.9,350.0
15/2/2000,352.1,8124337,352.0,354.4,342.05
16/2/2000,344.35,7876392,350.0,353.8,343.1
17/2/2000,348.15,7670820,347.7,356.8,347.5
18/2/2000,354.55,5030667,356.9,357.95,348.0
21/2/2000,349.45,2944404,348.4,352.0,341.65
22/2/2000,345.65,7192242,346.0,347.0,332.5
23/2/2000,334.35,4831725,344.7,344.7,327.3
24/2/2000,329.8,5663873,332.9,340.7,329.3
25/2/2000,336.75,3912097,341.4,342.9,326.1
28/2/2000,328.6,5026004,324.85,337.25,310.0
29/2/2000,333.1,9970107,337.9,342.85,306.45
01/3/2000,310.85,10765888,315.0,329.85,299.0
02/3/2000,316.8,12536245,318.85,322.0,291.5
03/3/2000,291.75,4636776,286.1,286.1,268.45
06/3/2000,268.45,10430713,268.45,283.85,247.0
07/3/2000,253.95,9560450,257.0,259.0,240.0
08/3/2000,242.3,7256376,246.9,250.5,230.0
09/3/2000,232.95,5545792,235.9,242.4,224.15
10/3/2000,231.3,6597169,234.0,234.8,214.6
13/3/2000,216.85,10765401,219.9,229.5,200.3
14/3/2000,203.2,10106318,205.5,219.5,197.15
15/3/2000,219.2,5711222,224.0,236.75,216.0
16/3/2000,236.75,10564295,239.5,247.8,230.1
21/3/2000,234.85,6838036,238.8,242.8,227.6
22/3/2000,237.9,4931613,245.0,248.5,241.2
23/3/2000,243.4,4286132,245.25,245.8,238.55
24/3/2000,240.95,2637850,239.2,242.95,237.65
27/3/2000,240.6,4141666,243.0,259.85,243.0
28/3/2000,259.85,7026761,263.1,280.65,263.1
29/3/2000,280.65,10277833,284.8,289.9,269.0
30/3/2000,271.3,17168324,269.0,293.0,258.3
31/3/2000,293.0,19704184,297.0,316.45,280.1
03/4/2000,316.45,21353020,327.65,333.7,318.1
04/4/2000,328.6,13530488,326.0,326.0,302.35
05/4/2000,302.35,25186375,303.4,312.0,278.25
06/4/2000,302.25,16239068,303.0,326.45,302.55
07/4/2000,326.15,11686144,329.8,352.25,329.8
10/4/2000,352.25,22110719,369.9,380.0,359.5
11/4/2000,364.55,9759550,358.0,359.0,346.5
12/4/2000,353.75,17263869,357.0,360.0,334.4
13/4/2000,337.95,225213,331.1,331.1,310.95
17/4/2000,310.95,15931668,286.1,300.8,286.1
18/4/2000,298.4,8775778,297.1,308.9,294.0
19/4/2000,300.05,16293725,307.7,324.05,303.1
20/4/2000,314.85,19387991,313.0,340.05,309.25
24/4/2000,337.75,17618258,346.0,360.6,323.0
25/4/2000,336.95,15809540,322.3,339.5,311.65
26/4/2000,332.05,16998445,340.0,358.65,340.0
27/4/2000,357.95,29547592,360.8,366.0,338.3
28/4/2000,345.65,13426369,347.5,351.9,340.3
02/5/2000,345.05,16424665,348.0,354.65,325.25
03/5/2000,329.15,13760253,327.0,333.85,309.2
04/5/2000,328.0,11327281,331.0,342.95,331.0
05/5/2000,337.2,11144621,338.5,341.55,328.1
08/5/2000,335.35,5891336,331.0,337.0,322.3
09/5/2000,324.0,6136642,321.5,331.85,318.4
10/5/2000,328.35,6652614,330.0,334.9,323.3
11/5/2000,325.25,6428965,324.05,324.05,314.0
12/5/2000,316.75,4135346,319.6,322.5,313.3
15/5/2000,315.9,5797353,312.05,324.7,306.5
16/5/2000,319.5,3133472,320.0,321.9,315.0
17/5/2000,317.4,7802567,320.9,328.4,316.25
18/5/2000,318.85,5382755,318.0,319.75,307.1
19/5/2000,310.1,7967132,308.0,319.05,307.25
22/5/2000,315.6,3117749,313.0,316.9,309.0
23/5/2000,312.45,4169391,312.3,316.0,308.5
24/5/2000,314.75,4041968,313.65,317.9,310.0
25/5/2000,312.75,2617268,312.3,317.8,311.1
26/5/2000,312.8,3504803,314.8,318.0,311.0
29/5/2000,316.45,11805354,318.5,347.45,318.0
30/5/2000,339.45,5690548,340.75,345.85,337.1
31/5/2000,343.8,8452065,351.0,356.8,342.1
01/6/2000,343.9,5381385,342.1,345.9,336.15
02/6/2000,339.2,5846405,343.0,346.0,334.1
05/6/2000,337.45,10843536,337.7,351.85,336.4
06/6/2000,339.2,3919322,338.0,342.85,336.1
07/6/2000,338.8,3752088,339.9,344.4,336.25
08/6/2000,337.95,4600458,339.9,345.0,338.25
09/6/2000,340.85,12293372,341.9,352.7,339.05
12/6/2000,341.2,4122051,342.4,345.7,338.55
13/6/2000,339.4,6836937,339.0,346.45,337.05
